arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-3960.gr;DFS;LISTA;10;2,4050
sample100-3960.gr;DFS;LISTA;11;1,7345
sample100-3960.gr;DFS;MATRIZ;1;2,9665
sample100-3960.gr;DFS;MATRIZ;2;2,3989
sample100-3960.gr;DFS;MATRIZ;3;1,4406
sample100-3960.gr;DFS;MATRIZ;4;1,4680
sample100-3960.gr;DFS;MATRIZ;5;1,4439
sample100-3960.gr;DFS;MATRIZ;6;2,7281
sample100-3960.gr;DFS;MATRIZ;7;2,2402
sample100-3960.gr;DFS;MATRIZ;8;3,5312
sample100-3960.gr;DFS;MATRIZ;9;2,5054
sample100-3960.gr;DFS;MATRIZ;10;2,3474
sample100-3960.gr;DFS;MATRIZ;11;2,2397
sample100-3960.gr;KRUSKAL;LISTA;1;3,4669
sample100-3960.gr;KRUSKAL;LISTA;2;4,1916
sample100-3960.gr;KRUSKAL;LISTA;3;3,7492
sample100-3960.gr;KRUSKAL;LISTA;4;3,5946
sample100-3960.gr;KRUSKAL;LISTA;5;3,6317
sample100-3960.gr;KRUSKAL;LISTA;6;4,2942
sample100-3960.gr;KRUSKAL;LISTA;7;4,4172
sample100-3960.gr;KRUSKAL;LISTA;8;4,4111
sample100-3960.gr;KRUSKAL;LISTA;9;4,2709
sample100-3960.gr;KRUSKAL;LISTA;10;3,8741
sample100-3960.gr;KRUSKAL;LISTA;11;4,0805
sample100-3960.gr;KRUSKAL;MATRIZ;1;3,0772
sample100-3960.gr;KRUSKAL;MATRIZ;2;3,6540
sample100-3960.gr;KRUSKAL;MATRIZ;3;4,0470
sample100-3960.gr;KRUSKAL;MATRIZ;4;4,2975
sample100-3960.gr;KRUSKAL;MATRIZ;5;4,0126
sample100-3960.gr;KRUSKAL;MATRIZ;6;3,7921
sample100-3960.gr;KRUSKAL;MATRIZ;7;3,6355
sample100-3960.gr;KRUSKAL;MATRIZ;8;3,5429
sample100-3960.gr;KRUSKAL;MATRIZ;9;3,3860
sample100-3960.gr;KRUSKAL;MATRIZ;10;5,3315
sample100-3960.gr;KRUSKAL;MATRIZ;11;3,5628
sample100-3960.gr;PRIM;LISTA;1;3,6700
sample100-3960.gr;PRIM;LISTA;2;3,9070
sample100-3960.gr;PRIM;LISTA;3;3,6078
sample100-3960.gr;PRIM;LISTA;4;3,8838
sample100-3960.gr;PRIM;LISTA;5;3,9282
sample100-3960.gr;PRIM;LISTA;6;3,8036
sample100-3960.gr;PRIM;LISTA;7;4,0803
sample100-3960.gr;PRIM;LISTA;8;4,1802
sample100-3960.gr;PRIM;LISTA;9;3,7249
sample100-3960.gr;PRIM;LISTA;10;3,6885
sample100-3960.gr;PRIM;LISTA;11;3,7735
sample100-3960.gr;PRIM;MATRIZ;1;4,2893
sample100-3960.gr;PRIM;MATRIZ;2;4,3433
sample100-3960.gr;PRIM;MATRIZ;3;4,1155
sample100-3960.gr;PRIM;MATRIZ;4;4,0034
sample100-3960.gr;PRIM;MATRIZ;5;4,2177
sample100-3960.gr;PRIM;MATRIZ;6;3,9831
sample100-3960.gr;PRIM;MATRIZ;7;3,4348
sample100-3960.gr;PRIM;MATRIZ;8;4,1434
sample100-3960.gr;PRIM;MATRIZ;9;3,9463
sample100-3960.gr;PRIM;MATRIZ;10;3,9903
sample100-3960.gr;PRIM;MATRIZ;11;4,1457
sample100-3960.gr;DIJKSTRA;LISTA;1;2,6375
sample100-3960.gr;DIJKSTRA;LISTA;2;2,6340
sample100-3960.gr;DIJKSTRA;LISTA;3;1,9805
sample100-3960.gr;DIJKSTRA;LISTA;4;1,9990
sample100-3960.gr;DIJKSTRA;LISTA;5;2,0508
sample100-3960.gr;DIJKSTRA;LISTA;6;2,0399
sample100-3960.gr;DIJKSTRA;LISTA;7;2,4690
sample100-3960.gr;DIJKSTRA;LISTA;8;2,1916
sample100-3960.gr;DIJKSTRA;LISTA;9;2,0708
sample100-3960.gr;DIJKSTRA;LISTA;10;2,9750
sample100-3960.gr;DIJKSTRA;LISTA;11;1,5863
sample100-3960.gr;DIJKSTRA;MATRIZ;1;1,8494
sample100-3960.gr;DIJKSTRA;MATRIZ;2;1,6588
